wp_slug,page_match,page_score,page_method,product_match,product_score,collection_match,collection_score
,,0,no_match,,0,,0
commander,commande-express,0.72,fuzzy,,0,,0
mon-compte,,0,no_match,,0,,0
notre-histoire-mylab,notre-histoire-mylab,1.0,direct,,0,,0
rejoignez-nous,rejoignez-nous,1.0,direct,,0,,0
partez-a-la-decouverte-de-votre-marque,partez-a-la-decouverte-de-votre-marque,1.0,direct,,0,,0
les-accessoires-my-lab,les-accessoires-my-lab,1.0,direct,,0,,0
huile-seche-cheveux-marque-blanche,huile-seche-cheveux-marque-blanche,1.0,direct,,0,,0
masque-capillaire-professionnel-marque-blanche,masque-capillaire-professionnel-marque-blanche,1.0,direct,,0,,0
shampoing-en-marque-blanche,shampoing-en-marque-blanche,1.0,direct,shampoing-dejaunisseur-platine,0.667,,0
produit-de-finition-coiffure-marque-blanche,produit-de-finition-coiffure-marque-blanche,1.0,direct,,0,produits-de-finition-testeurs,0.611
temoignages-clients-2,temoignages,0.733,fuzzy,,0,,0
pack-technique,,0,no_match,,0,,0
serum-cheveux-marque-blanche,serum-cheveux-marque-blanche,1.0,direct,,0,,0
creer-sa-marque-de-cosmetique-capillaire-profesionnel-en-ligne,masque-capillaire-professionnel-marque-blanche,0.667,fuzzy,,0,,0
creme-capillaire-professionnelle-marque-blanche,creme-capillaire-professionnelle-marque-blanche,1.0,direct,,0,,0
laboratoire-cosmetique-marque-blanche,laboratoire-cosmetique-marque-blanche,1.0,direct,,0,,0
laboratoire-cosmetique-aix-en-provence,laboratoire-cosmetique-aix-en-provence,1.0,direct,,0,,0
laboratoire-cosmetique-lyon,laboratoire-cosmetique-lyon,1.0,direct,,0,,0
laboratoire-cosmetique-a-marseille,laboratoire-cosmetique-a-marseille,1.0,direct,,0,,0
laboratoire-cosmetique-paca,laboratoire-cosmetique-paca,1.0,direct,,0,,0
request-quote,,0,no_match,,0,,0
contact,contact,1.0,direct,,0,,0
design-editor,,0,no_match,,0,,0
catalogue-prix-et-formules-mylab,catalogue-prix-et-formules-mylab,1.0,direct,,0,,0
modeles-etiquettes,modeles-etiquettes,1.0,direct,frais-dimpression-etiquettes,0.609,modeles-detiquettes,0.973
creation-dossier-cosmetologique,creation-dossier-cosmetologique,1.0,direct,creation-du-dossier-cosmetologique,0.954,,0
la-boutique-my-lab,la-boutique-my-lab,1.0,direct,,0,,0
testez-les-produits,testez-les-produits,1.0,direct,,0,,0
faq-my-lab,faq-my-lab,1.0,direct,,0,,0
les-etapes-pour-creer-sa-marque-de-cosmetique-capillaire,,0,no_match,,0,,0
